speed,speed_category
49.9,Very High
50,Very High
50.1,Very High
50.2,Very High
50.3,Very High
50.4,Very High
50.5,Very High
50.6,Very High
50.7,Very High
50.8,Very High
50.9,Very High
51,Very High
51.1,Very High
51.2,Very High
51.3,Very High
51.4,Very High
51.5,Very High
51.6,Very High
51.7,Very High
51.8,Very High
51.9,Very High
52,Very High
52.1,Very High
52.2,Very High
52.3,Very High
52.4,Very High
52.5,Very High
52.6,Very High
52.7,Very High
52.8,Very High
52.9,Very High
53,Very High
53.1,Very High
53.2,Very High
53.3,Very High
53.4,Very High
53.5,Very High
53.6,Very High
53.7,Very High
53.8,Very High
53.9,Very High
54,Very High
54.1,Very High
54.2,Very High
54.3,Very High
54.4,Very High
54.5,Very High
54.6,Very High
54.7,Very High
54.8,Very High
54.9,Very High
55,Very High
55.1,Very High
55.2,Very High
55.3,Very High
55.4,Very High
55.5,Very High
55.6,Very High
55.7,Very High
55.8,Very High
55.9,Very High
56,Very High
56.1,Very High
56.2,Very High
56.3,Very High
56.4,Very High
56.5,Very High
56.6,Very High
56.7,Very High
56.8,Very High
56.9,Very High
57,Very High
57.1,Very High
57.2,Very High
57.3,Very High
57.4,Very High
57.5,Very High
57.6,Very High
57.7,Very High
57.8,Very High
57.9,Very High
58,Very High
58.1,Very High
58.2,Very High
58.3,Very High
58.4,Very High
58.5,Very High
58.6,Very High
58.7,Very High
58.8,Very High
58.9,Very High
59,Very High
59.1,Very High
59.2,Very High
59.3,Very High
59.4,Very High
59.5,Very High
59.6,Very High
59.7,Very High
59.8,Very High
59.9,Very High
60,Very High
60.1,Very High
60.2,Very High
60.3,Very High
60.4,Very High
60.5,Very High
60.6,Very High
60.7,Very High
60.8,Very High
60.9,Very High
61,Very High
61.1,Very High
61.2,Very High
61.3,Very High
61.4,Very High
61.5,Very High
61.6,Very High
61.7,Very High
61.8,Very High
61.9,Very High
62,Very High
62.1,Very High
62.2,Very High
62.3,Very High
62.4,Very High
62.5,Very High
62.6,Very High
62.7,Very High
62.8,Very High
62.9,Very High
63,Very High
63.1,Very High
63.2,Very High
63.3,Very High
63.4,Very High
63.5,Very High
63.6,Very High
63.7,Very High
63.8,Very High
63.9,Very High
64,Very High
64.1,Very High
64.2,Very High
64.3,Very High
64.4,Very High
64.5,Very High
64.6,Very High
64.7,Very High
64.8,Very High
64.9,Very High
65,Very High
65.1,Very High
65.2,Very High
65.3,Very High
65.4,Very High
65.5,Very High
65.6,Very High
65.7,Very High
65.8,Very High
65.9,Very High
66,Very High
66.1,Very High
66.2,Very High
66.3,Very High
66.4,Very High
66.5,Very High
66.6,Very High
66.7,Very High
66.8,Very High
66.9,Very High
67,Very High
67.1,Very High
67.2,Very High
67.3,Very High
67.4,Very High
67.5,Very High
67.6,Very High
67.7,Very High
67.8,Very High
67.9,Very High
68,Very High
68.1,Very High
68.2,Very High
68.3,Very High
68.4,Very High
68.5,Very High
68.6,Very High
68.7,Very High
68.8,Very High
68.9,Very High
69,Very High
69.1,Very High
69.2,Very High
69.3,Very High
69.4,Very High
69.5,Very High
69.6,Very High
69.7,Very High
69.8,Very High
69.9,Very High
70,Very High
70.1,Very High
70.2,Very High
70.3,Very High
70.4,Very High
70.5,Very High
70.6,Very High
70.7,Very High
70.8,Very High
70.9,Very High
71,Very High
71.1,Very High
71.2,Very High
71.3,Very High
71.4,Very High
71.5,Very High
71.6,Very High
71.7,Very High
71.8,Very High
71.9,Very High
72,Very High
72.1,Very High
72.2,Very High
72.3,Very High
72.4,Very High
72.5,Very High
72.6,Very High
72.7,Very High
72.8,Very High
72.9,Very High
73,Very High
73.1,Very High
73.2,Very High
73.3,Very High
73.4,Very High
73.5,Very High
73.6,Very High
73.7,Very High
73.8,Very High
73.9,Very High
74,Very High
74.1,Very High
74.2,Very High
74.3,Very High
74.4,Very High
74.5,Very High
74.6,Very High
74.7,Very High
74.8,Very High
74.9,Very High
75,Very High
75.1,Very High
75.2,Very High
75.3,Very High
75.4,Very High
75.5,Very High
75.6,Very High
75.7,Very High
75.8,Very High
75.9,Very High
76,Very High
76.1,Very High
76.2,Very High
76.3,Very High
76.4,Very High
76.5,Very High
76.6,Very High
76.7,Very High
76.8,Very High
76.9,Very High
77,Very High
77.1,Very High
77.2,Very High
77.3,Very High
77.4,Very High
77.5,Very High
77.6,Very High
77.7,Very High
77.8,Very High
77.9,Very High
78,Very High
78.1,Very High
78.2,Very High
78.3,Very High
78.4,Very High
78.5,Very High
78.6,Very High
78.7,Very High
78.8,Very High
78.9,Very High
79,Very High
79.1,Very High
79.2,Very High
79.3,Very High
79.4,Very High
79.5,Very High
79.6,Very High
79.7,Very High
79.8,Very High
79.9,Very High
80,Very High
80.1,Very High
80.2,Very High
80.3,Very High
80.4,Very High
80.5,Very High
80.6,Very High
80.7,Very High
80.8,Very High
80.9,Very High
81,Very High
81.1,Very High
81.2,Very High
81.3,Very High
81.4,Very High
81.5,Very High
81.6,Very High
81.7,Very High
81.8,Very High
81.9,Very High
82,Very High
82.1,Very High
82.2,Very High
82.3,Very High
82.4,Very High
82.5,Very High
82.6,Very High
82.7,Very High
82.8,Very High
82.9,Very High
83,Very High
83.1,Very High
83.2,Very High
83.3,Very High
83.4,Very High
83.5,Very High
83.6,Very High
83.7,Very High
83.8,Very High
83.9,Very High
84,Very High
84.1,Very High
84.2,Very High
84.3,Very High
84.4,Very High
84.5,Very High
84.6,Very High
84.7,Very High
84.8,Very High
84.9,Very High
85,Very High
85.1,Very High
85.2,Very High
85.3,Very High
85.4,Very High
85.5,Very High
85.6,Very High
85.7,Very High
85.8,Very High
85.9,Very High
86,Very High
86.1,Very High
86.2,Very High
86.3,Very High
86.4,Very High
86.5,Very High
86.6,Very High
86.7,Very High
86.8,Very High
86.9,Very High
87,Very High
87.1,Very High
87.2,Very High
87.3,Very High
87.4,Very High
87.5,Very High
87.6,Very High
87.7,Very High
87.8,Very High
87.9,Very High
88,Very High
88.1,Very High
88.2,Very High
88.3,Very High
88.4,Very High
88.5,Very High
88.6,Very High
88.7,Very High
88.8,Very High
88.9,Very High
89,Very High
89.1,Very High
89.2,Very High
89.3,Very High
89.4,Very High
89.5,Very High
89.6,Very High
89.7,Very High
89.8,Very High
89.9,Very High
90,Very High
90.1,Very High
90.2,Very High
90.3,Very High
90.4,Very High
90.5,Very High
90.6,Very High
90.7,Very High
90.8,Very High
90.9,Very High
91,Very High
91.1,Very High
91.2,Very High
91.3,Very High
91.4,Very High
91.5,Very High
91.6,Very High
91.7,Very High
91.8,Very High
91.9,Very High
92,Very High
92.1,Very High
92.2,Very High
92.3,Very High
92.4,Very High
92.5,Very High
92.6,Very High
92.7,Very High
92.8,Very High
92.9,Very High
93,Very High
93.1,Very High
93.2,Very High
93.3,Very High
93.4,Very High
93.5,Very High
93.6,Very High
93.7,Very High
93.8,Very High
93.9,Very High
94,Very High
94.1,Very High
94.2,Very High
94.3,Very High
94.4,Very High
94.5,Very High
94.6,Very High
94.7,Very High
94.8,Very High
94.9,Very High
95,Very High
95.1,Very High
95.2,Very High
95.3,Very High
95.4,Very High
95.5,Very High
95.6,Very High
95.7,Very High
95.8,Very High
95.9,Very High
96,Very High
96.1,Very High
96.2,Very High
96.3,Very High
96.4,Very High
96.5,Very High
96.6,Very High
96.7,Very High
96.8,Very High
96.9,Very High
97,Very High
97.1,Very High
97.2,Very High
97.3,Very High
97.4,Very High
97.5,Very High
97.6,Very High
97.7,Very High
97.8,Very High
97.9,Very High
98,Very High
98.1,Very High
98.2,Very High
98.3,Very High
98.4,Very High
98.5,Very High
98.6,Very High
98.7,Very High
98.8,Very High
98.9,Very High
99,Very High
99.1,Very High
99.2,Very High
99.3,Very High
99.4,Very High
99.5,Very High
99.6,Very High
99.7,Very High
99.8,Very High
99.9,Very High
100,Very High
100.1,Very High
100.2,Very High
100.3,Very High
100.4,Very High
100.5,Very High
100.6,Very High
100.7,Very High
100.8,Very High
100.9,Very High
101,Very High
101.1,Very High
101.2,Very High
101.3,Very High
101.4,Very High
101.5,Very High
101.6,Very High
101.7,Very High
101.8,Very High
101.9,Very High
102,Very High
102.1,Very High
102.2,Very High
102.3,Not Available
